created_at,card_id,name,rarity,description,power_hp,torque_nm,max_speed_kmh,weight_t,make,model,year,acceleration_0_100,power_kw,cylinder,engine_size,boost,id,legacy_id,country_code
2025-09-02 14:39:16.204046+00,8ab5b886-4cee-49a4-b7b8-1202fa77648a,,,Acura ILX 2.0,150,,,,Acura,ILX 2.0,2013,,111.9,4.0,2.0 I4,NA,01e3abe4-6e82-4722-b286-a39eb36f727b,,🇯🇵
2025-09-02 14:39:16.204046+00,c5dc0a11-2ee1-4e99-ac71-e2a5e8360edb,,,Acura TLX 2.0T,272,380.0,,,Acura,TLX 2.0T,2023,6.1,202.8,4.0,2.0 I4 Turbo,Turbo,0227615b-a632-4993-a166-183808e91684,,🇯🇵
2025-09-02 14:39:16.204046+00,32f2b4b5-8e2a-4e3e-8313-01986f12e193,,,Acura MDX (1st gen) 3.5,240,,,,Acura,MDX 3.5,2001,,179.0,6.0,3.5 V6,NA,053ce51c-35b6-44ba-98bb-00d9c1bbc60d,,🇯🇵
2025-09-02 14:39:16.204046+00,48ff7c4c-1b0f-4ec5-809f-344767f78187,,,Acura TLX 2.0T,272,380.0,,,Acura,TLX 2.0T,2022,6.1,202.8,4.0,2.0 I4 Turbo,Turbo,05a4d982-9f34-4f7c-8bda-71def784c0aa,,🇯🇵
2025-09-02 14:39:16.204046+00,e754c261-6420-4413-9d08-898fbded23bc,,,Acura TSX 2.4,201,233.0,,,Acura,TSX 2.4,2008,7.6,149.9,4.0,2.4 I4,NA,06a96c33-5d66-4f58-8ee3-51a6d8db1dad,,🇯🇵
2025-05-14 15:13:28.852279+00,23d61b6a-0973-422f-8a9e-3f9e5cc738b1,Alfa Romeo Stelvio Quadrifoglio,Epic,Stelvio Quadrifoglio,505,600,283,1830,Alfa Romeo,Stelvio Quadrifoglio,2021,3.6,375,V6,2891,BiTurbo,094e0a8e-22d7-4d07-bae0-73f117c430c0,2,🇮🇹
2025-09-02 14:39:16.204046+00,63709fc7-8619-4b7c-952d-2b00da9f128c,,,Acura TSX V6 (CU2),280,344.0,,,Acura,TSX V6,2010,6.5,208.8,6.0,3.5 V6,NA,0a40c4bc-c5b0-4536-9453-cd8538e53853,,🇯🇵
2025-09-02 14:39:16.204046+00,f51a6c8e-02f7-4757-86a1-13f04bdac3bf,,,Acura RDX 2.0T,272,380.0,,,Acura,RDX 2.0T,2020,,202.8,4.0,2.0 I4 Turbo,Turbo,0ceb5d25-8836-4809-b61f-bd6327c23069,,🇯🇵
2025-09-02 14:39:16.204046+00,a29f20a6-f7d2-4151-b75c-61aef23e35c6,,,Acura ZDX Type S (EV),500,,,,Acura,ZDX Type S (EV),2025,4.9,372.9,,Electric,EV,0f62108a-3d38-4b10-95dc-7ece45bb9a99,,🇯🇵
2025-05-15 05:09:22.747171+00,3d223cf3-1064-4890-b11e-82c42d79defa,164,,,,,,,Alfa Romeo,164,1995,,,,,,0fb31ca2-d2b7-4000-a7e7-8429c0b9620d,17,🇮🇹
2025-09-02 14:39:16.204046+00,7d341ba5-fe28-4cbd-bfea-92bc0e4bd5a7,,,Acura NSX (facelift) 3.2,290,412.16319999999996,,1.43,Acura,NSX 3.2 Facelift,2002,,216.3,6.0,3.2 V6,NA,10fb144d-91b8-4c20-80c9-7101fbc2b38a,,🇯🇵
2025-03-26 13:02:33.598207+00,43f15542-3753-46b5-9e20-756e2342e61b,F50,Legend,Ferrari F50,520,471,325,1230,Ferrari,F50,1995,3.9,382,V12,4698,N/A,119e018e-303b-4fb1-892b-f93849412373,2,🇮🇹
2025-09-02 14:39:16.204046+00,43e0bf21-74bb-4f4b-bfed-2ca93e6226a7,,,Acura TLX 2.4 (1st gen),206,247.0,,,Acura,TLX 2.4,2015,7.3,153.6,4.0,2.4 I4,NA,13abe399-ae1c-41ac-8f97-d5ac8045baba,,🇯🇵
